node,degree,strength,betweenness,closeness,clustering,community
Gauss M. Cordeiro,21,24,0.02199051303910639,0.3203463203463203,0.04284801500508018,91
Josmar Mazucheli,15,17,0.01876844383238245,0.3008130081300813,0.06582326477239885,67
Francisco Louzada,13,16,0.012643452029641273,0.2624113475177305,0.06724071967224632,67
Helton Saulo,12,15,0.00851859138304151,0.23125,0.10771982111413572,32
Morad Alizadeh,9,9,0.01888648435963014,0.3274336283185841,0.09259259259259259,67
Roberto Vila,9,11,0.011640107548035936,0.2730627306273063,0.12063814195485653,32
Gamze Ozel,8,8,0.017627385402321463,0.31896551724137934,0.14285714285714285,67
Marcelo Bourguignon,8,8,0.002793625811528625,0.19321148825065274,0.15785620297493894,32
Jeremias Le˜ao,7,8,9.180929897042429e-05,0.19270833333333334,0.23110359205348,32
Vera L.D. Tomazella,6,6,0.006925044265197718,0.21893491124260356,0.15555555555555556,41
Vinicius F. Calsavara,6,6,0.0036723719588169714,0.185,0.15555555555555556,41
Adriano K. Suzuki,6,8,0.0011935208866155171,0.24915824915824916,0.24193347336539034,67
Heleno Bolfarine,6,6,0.0003541215817430651,0.0,0.13333333333333333,5
Miguel A. Uribe-Opazo,6,6,0.000314774739327169,0.0,0.13333333333333333,14
Paulo Justiniano Ribeiro Jr,6,8,0.00027542789691127286,0.0,0.16710760221754992,14
Lu´ıs H. de Santana,6,7,0.00023608105449537674,0.2605633802816901,0.2492108067447976,91
Omar Fetitah,6,6,0.00011804052724768837,0.0,0.13333333333333333,75
Jhonnata B. de Carvalho,6,6,0.00010492491310905633,0.0,0.15555555555555556,84
Reinaldo B. Arellano-Valle,5,5,0.0005770870220998098,0.0,0.1,5
Paulo H. Ferreira,5,7,0.0002360810544953768,0.2483221476510067,0.3629002100480855,67
Raydonal Ospina,5,5,0.00011804052724768837,0.0,0.13333333333333333,78
Christophe Chesneau,5,5,5.2462456554528165e-05,0.0,0.2086640349964958,88
Elisangela C. Biazatti,5,7,8.743742759088028e-06,0.24666666666666667,0.3629002100480855,91
Maria do Carmo S. de Lima,5,7,8.743742759088028e-06,0.24666666666666667,0.3629002100480855,91
Renato Cintra,5,5,0.0,0.19170984455958548,0.3419973683298291,32
Leandro Rˆego,5,5,0.0,0.19170984455958548,0.3419973683298291,32
Gauss Cordeiro3,5,5,0.0,0.19170984455958548,0.3419973683298291,32
Vera L. D. Tomazella,4,4,0.0018886484359630139,0.1581196581196581,0.1111111111111111,41
Wolf-Dieter Richter,4,4,0.0003803528100203292,0.0,0.05555555555555555,5
Manuel Galea,4,4,0.00011804052724768837,0.0,0.16666666666666666,14
Alejandro C. Frery,4,4,5.2462456554528165e-05,0.0,0.1111111111111111,17
Sanku Dey,4,5,1.3115614138632041e-05,0.23417721518987342,0.26554239720470113,67
Muhammad Aslam,4,4,0.0,0.0,0.3333333333333333,12
Chi-Hyuck Jun,4,4,0.0,0.0,0.3333333333333333,12
Hyeseon Lee,4,4,0.0,0.0,0.3333333333333333,12
Munir Ahmad,4,4,0.0,0.0,0.3333333333333333,12
Mujahid Rasool,4,4,0.0,0.0,0.3333333333333333,12
Ahmed Z. Afify,4,4,0.0,0.2803030303030303,0.3333333333333333,67
Emrah Altun,4,4,0.0,0.2803030303030303,0.3333333333333333,67
G.G. Hamedani,4,4,0.0,0.2803030303030303,0.3333333333333333,67
Andr´e Pereira,4,4,0.0,0.0,0.3333333333333333,66
Viviane Campos,4,4,0.0,0.0,0.3333333333333333,66
Jos´e Roveda,4,4,0.0,0.0,0.3333333333333333,66
F´agner Santana,4,4,0.0,0.0,0.3333333333333333,66
Francisco de Medeiros,4,4,0.0,0.0,0.3333333333333333,66
Taciana K. O. Shimizu,4,4,0.0,0.24749163879598662,0.39109356664330513,67
Murilo C. Silva,4,4,0.0,0.0,0.3333333333333333,84
George F. von Borries,4,4,0.0,0.0,0.3333333333333333,84
Andre L.S. de Pinho,4,4,0.0,0.0,0.3333333333333333,84
Ricardo F. von Borries,4,4,0.0,0.0,0.3333333333333333,84
Agatha S. Rodrigues,4,4,0.0,0.18316831683168316,0.3333333333333333,41
Eduardo Bertolli,4,4,0.0,0.18316831683168316,0.3333333333333333,41
Stela V. Peres,4,4,0.0,0.18316831683168316,0.3333333333333333,41
Bernardo B. de Andrade,4,4,0.0,0.0,0.3333333333333333,86
Raul Y. Matsushita,4,4,0.0,0.0,0.3333333333333333,86
Pushpa N. Rathie,4,4,0.0,0.0,0.3333333333333333,86
Luan Ozelim,4,4,0.0,0.0,0.3333333333333333,86
Sandro B. de Oliveira,4,4,0.0,0.0,0.3333333333333333,86
Muhammed Rasheed Irshad,4,5,0.0,0.0,0.37665350831581224,88
Damodaran Santhamani Shibu,4,4,0.0,0.0,0.3477733916608263,88
Soman Latha Nitin,4,4,0.0,0.0,0.34777339166082627,88
Radhakumari Maya,4,5,0.0,0.0,0.37665350831581224,88
Gabriela M. Rodrigues,4,4,0.0,0.25874125874125875,0.3477733916608263,91
Edwin M. M. Ortega,4,4,0.0,0.25874125874125875,0.3477733916608263,91
Tabassum Naz Sindhu,4,4,0.0,0.27007299270072993,0.3333333333333333,67
Anum Shafiq,4,4,0.0,0.27007299270072993,0.3333333333333333,67
Bruna Alves,4,4,0.0,0.27007299270072993,0.3333333333333333,67
Edwin M.M. Ortega,4,4,0.0,0.24584717607973422,0.37665350831581224,91
Luís H. de Santana,4,4,0.0,0.24584717607973422,0.37665350831581224,91
Konan J.G. Kouakou,4,4,0.0,0.0,0.3333333333333333,102
Kouakou Mathias Amani,4,4,0.0,0.0,0.3333333333333333,102
Lancine Bamba,4,4,0.0,0.0,0.3333333333333333,102
Brahima Soro,4,4,0.0,0.0,0.3333333333333333,102
Ouagnina Hili,4,4,0.0,0.0,0.3333333333333333,102
Ernesto San Martín,4,4,0.0,0.0,0.3333333333333333,103
María Soledad Graell,4,4,0.0,0.0,0.3333333333333333,103
Carolina Maldonado,4,4,0.0,0.0,0.3333333333333333,103
Macarena Borquez,4,4,0.0,0.0,0.3333333333333333,103
Ivan Canales,4,4,0.0,0.0,0.3333333333333333,103
Francisco Cribari-Neto,3,3,6.55780706931602e-05,0.0,0.1111111111111111,78
Ernesto San Mart´ın,3,4,2.6231228277264083e-05,0.0,0.13999122776609704,7
Fernando Marmolejo-Ramos,3,3,2.6231228277264083e-05,0.0,0.1111111111111111,65
Pilar L. Iglesias,3,3,0.0,0.0,0.3333333333333333,5
Paola Viviani,3,3,0.0,0.0,0.3333333333333333,5
Joelmir A. Borssoi,3,3,0.0,0.0,0.3333333333333333,14
Fernanda De Bastiani,3,3,0.0,0.0,0.3333333333333333,14
Luciana Pagliosa Carvalho Guedes,3,3,0.0,0.0,0.3333333333333333,14
Sonia Maria De Stefano Piedade,3,3,0.0,0.0,0.3333333333333333,14
Ricardo Dutra da Silva,3,5,0.0,0.0,0.5022046777544164,15
William Robson Schwartz,3,5,0.0,0.0,0.5022046777544164,15
Helio Pedrini,3,5,0.0,0.0,0.5022046777544164,15
Rosane Minghim,3,3,0.0,0.0,0.41997368329829116,15
Clara Quintana,3,3,0.0,0.0,0.3333333333333333,16
Silvia Ojeda,3,3,0.0,0.0,0.3333333333333333,16
German Tirao,3,3,0.0,0.0,0.3333333333333333,16
Mauro Valente,3,3,0.0,0.0,0.3333333333333333,16
Alessandra Guglielmi,3,3,0.0,0.0,0.3333333333333333,19
Francesca Ieva,3,3,0.0,0.0,0.3333333333333333,19
Anna M. Paganoni,3,3,0.0,0.0,0.3333333333333333,19
abrizio Ruggeri,3,3,0.0,0.0,0.3333333333333333,19
Ye Liang,3,3,0.0,0.0,0.3333333333333333,39
Dongchu Sun2,3,3,0.0,0.0,0.3333333333333333,39
Chong He,3,3,0.0,0.0,0.3333333333333333,39
Mario Schootman,3,3,0.0,0.0,0.3333333333333333,39
Gurprit Grover,3,3,0.0,0.0,0.3333333333333333,40
Divya Seth,3,3,0.0,0.0,0.3333333333333333,40
V. Ravi,3,3,0.0,0.0,0.3333333333333333,40
Prafulla Kumar Swain,3,3,0.0,0.0,0.3333333333333333,40
Wagner Hugo Bonat,3,5,0.0,0.0,0.5022046777544164,14
Silvia Emiko Shimakura,3,5,0.0,0.0,0.5022046777544164,14
William D. Aristiz´abal,3,3,0.0,0.24503311258278146,0.3333333333333333,91
