node,degree,strength,betweenness,closeness,clustering,community
Brazil,15,26,0.31065708565708566,0.6222222222222222,0.04914307926740123,1
United States,8,14,0.07757757757757756,0.4827586206896552,0.10075730927439164,1
Chile,7,11,0.1535785785785786,0.509090909090909,0.05608780686220291,3
Pakistan,7,9,0.08458100958100957,0.4827586206896552,0.10194406565975911,2
Turkey,7,7,0.03096668096668097,0.4745762711864407,0.12142533472624945,2
Iran,6,7,0.03312240812240811,0.4375,0.11258675149603153,1
China,5,6,0.035238810238810245,0.4666666666666667,0.16734328403305637,2
Australia,4,6,0.0850850850850851,0.3783783783783784,0.04199736832982911,6
Czech Republic,4,4,0.0,0.4375,0.21732806999299156,2
UK,3,3,0.04054054054054054,0.4117647058823529,0.08399473665965822,4
Portugal,3,3,0.04054054054054054,0.4307692307692308,0.10582673679787998,3
India,3,4,0.0132990132990133,0.4117647058823529,0.08399473665965822,4
Algeria,3,3,0.0045045045045045045,0.0,0.0,7
Canada,3,5,0.003296153296153296,0.4375,0.21729134420930318,1
Egypt,3,4,0.0,0.3783783783783784,0.2564881401242049,1
Spain,2,3,0.04054054054054054,0.2828282828282828,0.0,6
Germany,2,2,0.04054054054054054,0.35,0.0,3
Colombia,2,3,0.024324324324324322,0.3835616438356164,0.0,6
France,2,2,0.0011261261261261261,0.3218390804597701,0.0,4
United Arab Emirates,2,2,0.0,0.0,0.2,5
Qatar,2,2,0.0,0.0,0.2,5
Jordan,2,2,0.0,0.0,0.2,5
Argentina,2,2,0.0,0.417910447761194,0.31748021039363994,3
New Zealand,2,2,0.0,0.4057971014492754,0.34199518933533946,1
Peru,2,2,0.0,0.4057971014492754,0.34199518933533946,1
Italy,1,1,0.0,0.32941176470588235,0.0,1
Mexico,1,1,0.0,0.2222222222222222,0.0,6
South Korea,1,1,0.0,0.32941176470588235,0.0,2
Iraq,1,1,0.0,0.2616822429906542,0.0,3
Libya,1,1,0.0,0.29473684210526313,0.0,4
Saudi Arabia,1,1,0.0,0.0,0.0,7
Netherlands,1,1,0.0,0.3888888888888889,0.0,1
Venezuela,1,1,0.0,0.0,0.0,8
Ecuador,1,1,0.0,0.0,0.0,8
Tunisia,1,1,0.0,0.0,0.0,7
Belgium,1,2,0.0,0.34146341463414637,0.0,3
Denmark,1,1,0.0,0.0,0.0,7
Greece,1,1,0.0,0.30434782608695654,0.0,3
