node,degree,strength,betweenness,closeness,clustering,community
Universidade Federal de Pernambuco,23,27,0.08858101102435513,0.475,0.024607434344854583,38
Universidade de S˜ao Paulo,20,31,0.10636598319896741,0.5066666666666667,0.03248296173512751,25
Pontificia Universidad Catolica de Chile,13,16,0.050138597939016906,0.4393063583815029,0.03988527514224305,1
Universidade de Brasília,10,10,0.027571467868554137,0.29118773946360155,0.03888888888888889,24
Universidade Estadual de Maringá,8,10,0.013828053915656275,0.4,0.08492647139784182,25
University of Connecticut,7,7,0.01919211155547091,0.36538461538461536,0.05952380952380952,25
Persian Gulf University,7,7,0.013806893924966673,0.3377777777777778,0.07142857142857142,38
Universidade Estadual de Campinas,7,7,0.009823525677648702,0.34234234234234234,0.05071334583208181,25
Hacettepe University,7,7,0.004919697835332953,0.3377777777777778,0.11904761904761904,38
A.C.Camargo Cancer Center,6,6,0.0005078397765504983,0.0,0.11666666666666667,21
Universidade Federal de Rio Grande do Norte,5,5,0.024693709134767983,0.37254901960784315,0.075,24
Universidade Federal de Amazonas,5,5,0.0004020398231024778,0.2846441947565543,0.125,24
Universidade Federal de S˜ao Carlos,4,5,0.020313591062019933,0.37073170731707317,0.125,24
Universidade Federal da Bahia,4,7,0.004792737891195328,0.3438914027149321,0.13228342099734994,25
Universidade Estadual do Oeste do Paraná,4,5,0.0008622696206013662,0.40425531914893614,0.24966344569868912,25
University of Adelaide,4,4,0.0005078397765504983,0.0,0.08333333333333333,23
Universidad Nacional de Colombia,4,4,0.0005078397765504983,0.0,0.08333333333333333,23
Université de Caen Basse-Normandie,4,4,0.00019043991620643687,0.0,0.13583004374561972,33
Interdisciplinary Laboratory of Social Statistics,4,6,2.1159990689604095e-05,0.31020408163265306,0.2933201749824788,1
Université Catholique de Louvain,4,6,2.1159990689604095e-05,0.31020408163265306,0.2933201749824788,1
Universidade Federal of Espírito Santo,4,4,0.0,0.0,0.25,21
Cedars-Sinai Medical Center,4,4,0.0,0.0,0.25,21
Fundação Oncocentro de São Paulo,4,4,0.0,0.0,0.25,21
Universidade Federal of São Carlos,4,4,0.0,0.0,0.25,21
Quaid-i-Azam University,4,4,0.0,0.33043478260869563,0.25,38
Nanjing University of Information Science and Technology,4,4,0.0,0.33043478260869563,0.25,38
VSB - Technical University of Ostrava,4,4,0.0,0.33043478260869563,0.25,38
Universidad Nacional de Cordoba,3,3,0.009458515838253032,0.3438914027149321,0.0,3
CNR IMATI,3,3,0.004760997905160922,0.2714285714285714,0.08333333333333333,25
Universidade do Minho,3,3,0.004760997905160922,0.22822822822822822,0.08333333333333333,24
Universidade Federal de Minas Gerais,3,3,0.004760997905160922,0.2889733840304182,0.08333333333333333,25
Universidad de Valparaíso,3,3,0.00012695994413762458,0.0,0.08333333333333333,31
Universidade Federal de Paraná,3,4,7.405996741361435e-05,0.3470319634703196,0.2645668419946999,25
Universidade of Brasília,3,4,0.0,0.38578680203045684,0.3670434704000282,25
McMaster University,3,3,0.0,0.2825278810408922,0.25,24
Benha University,3,3,0.0,0.2576271186440678,0.25,38
Marquette University,3,3,0.0,0.2576271186440678,0.25,38
St. Anthony’s College,3,4,0.0,0.3114754098360656,0.2933201749824788,25
