pais,0,1,2,3,4,5,6
Algeria,0,3,0,0,0,3,0
Argentina,0,1,2,0,0,0,0
Australia,0,0,2,1,0,0,0
Brazil,7,16,12,27,2,0,2
Canada,0,0,1,0,0,0,0
Chile,3,5,0,3,2,0,0
China,0,1,0,0,0,0,0
Colombia,1,0,1,1,1,0,0
Czech Republic,0,0,0,1,0,0,0
Côte d’Ivoire,0,1,0,0,0,0,0
Denmark,0,1,0,0,0,0,0
Egypt,0,0,0,2,0,0,0
France,0,0,0,1,0,0,0
Germany,1,0,0,1,0,1,0
Greece,0,0,1,0,0,0,0
India,0,1,2,4,0,8,1
Iran,1,1,1,2,0,1,0
Iraq,0,1,0,0,0,0,0
Italy,5,1,0,1,0,0,0
Japan,0,1,0,0,0,0,0
Jordan,0,0,0,0,0,1,0
Libya,0,0,0,1,0,0,0
Mexico,0,3,2,0,1,0,0
Morocco,0,0,0,1,0,0,0
New Zealand,0,0,0,0,1,0,0
Pakistan,0,0,2,0,0,0,1
Peru,1,0,0,0,0,0,0
Portugal,0,1,0,1,1,0,0
Saudi Arabia,0,1,0,0,0,0,0
Spain,0,1,0,1,0,1,0
Sweden,0,0,2,0,0,0,0
Turkey,0,0,1,1,0,0,1
United States,1,2,1,1,3,0,2
Uruguay,0,0,1,0,0,0,0
Venezuela,0,1,1,0,0,0,0
