k,sil_mean,sil_sd,ch_mean,ch_sd,db_mean,db_sd
3,0.017,0.001,3.63,0.086,5.745,0.159
4,0.019,0.002,3.42,0.062,5.272,0.271
5,0.021,0.002,3.255,0.095,4.991,0.197
6,0.024,0.001,3.109,0.069,4.752,0.125
7,0.025,0.002,2.963,0.079,4.561,0.195
8,0.026,0.003,2.846,0.082,4.384,0.157
9,0.027,0.003,2.745,0.067,4.213,0.11
10,0.029,0.003,2.694,0.061,4.033,0.122
11,0.029,0.003,2.595,0.049,3.96,0.116
12,0.029,0.002,2.531,0.04,3.846,0.087
13,0.03,0.002,2.491,0.035,3.736,0.097
14,0.031,0.003,2.449,0.041,3.626,0.085
15,0.032,0.002,2.423,0.03,3.521,0.083
