k,silhouette,calinski_harabasz,davies_bouldin
3,0.0139362937798422,3.469348148982184,6.1055284833340835
4,0.01851230437856507,3.503137325697238,5.121164921506866
5,0.022909704130100263,3.1514355756017665,4.937480644980926
6,0.020877597943929987,2.9087788002176582,5.275236850130013
7,0.02415653583350879,2.8506995827648263,4.698223408743611
8,0.023136155516658586,2.745107163234902,4.754058694543994
9,0.02556163396613684,2.6628627399423785,4.44903487025174
10,0.02706682480547972,2.595113524853056,4.243271285516853
11,0.027038816546311562,2.5539447225607,3.9192319328726413
12,0.02778973506630448,2.532177476221251,3.782494608238068
13,0.03196257671943807,2.4876818230351234,3.7629423900355046
14,0.031911395969932754,2.4227536773951597,3.6982264453334985
15,0.034863578348713065,2.4418378688277724,3.5551512748942637
