keyword,freq_total,persistencia,pendiente,anio_pico,valor_pico,anio_medio,score
monte carlo simulation,1.1705128205128204,9,0.012606209150326756,2020,0.2,2021.161737860533,1.0
maximum likelihood estimation,1.0206349206349206,7,0.003877217553688016,2019,0.3,2018.791601866252,0.8032930126129119
maximum likelihood,0.73003663003663,6,-0.0014463477698772344,2017,0.2222222222222222,2016.8263923733064,0.5452320978769342
bayesian inference,0.6539072039072038,6,-0.003676021690727577,2017,0.2222222222222222,2015.588647185137,0.48885413494985275
censored data,0.47057387057387057,5,0.0017955900308840626,2017,0.1111111111111111,2018.7973533990657,0.3102287301279745
r software,0.47692307692307695,3,0.006085972850678836,2019,0.2,2021.8387096774193,0.2292163755639826
birnbaum-saunders distribution,0.4111111111111111,4,0.0017483660130718634,2017,0.1111111111111111,2018.9459459459458,0.22333619361327167
bootstrapping,0.3833333333333333,3,0.006250000000000185,2025,0.2,2023.0434782608697,0.15990810197359312
bias,0.32527472527472523,4,-0.002744020685197085,2016,0.1,2014.631756756757,0.15976970133141413
symmetric distributions,0.36025641025641025,3,0.0033653846153847105,2025,0.2,2020.6761565836298,0.14281839067733273
mean squared error,0.35384615384615387,3,-0.00011312217194565702,2014,0.15384615384615385,2017.3913043478258,0.13807124865059375
maximum likelihood method,0.33717948717948715,3,0.0034219457013575038,2021,0.15384615384615385,2020.9505703422055,0.1257286793810723
t-x family,0.3222222222222222,3,0.003545751633986757,2017,0.1111111111111111,2021.2413793103447,0.1146520146520146
asymptotic normality,0.31978021978021975,3,-0.0016111829347123625,2011,0.14285714285714285,2015.786941580756,0.11284357959420929
weibull distribution,0.29914529914529914,3,0.0010683760683759542,2017,0.1111111111111111,2018.7142857142858,0.09756230335575422
order statistics,0.2936507936507936,3,0.0006886087768439588,2017,0.1111111111111111,2018.2972972972975,0.0934933244756922
spatial autocorrelation,0.26587301587301587,3,-9.920634920637506e-05,2018,0.1111111111111111,2017.373134328358,0.07292237569315654
entropy,0.2658730158730158,3,0.001954948646125033,2023,0.1111111111111111,2020.0000000000005,0.0729223756931565
non-response,0.23168498168498167,3,-0.001054460245636657,2022,0.08333333333333333,2015.9525691699605,0.04760428488388184
geostatistics,0.22619047619047616,3,-0.0014180672268906973,2022,0.08333333333333333,2015.3684210526317,0.04353530600381983
moment,0.25396825396825395,2,-9.337068160608078e-05,2013,0.14285714285714285,2017.3749999999998,0.021249111929212673
skewness,0.24358974358974358,2,-0.004468325791855219,2010,0.16666666666666666,2011.2631578947369,0.013563262933540007
mean square error,0.22527472527472528,2,-0.0020765998707175186,2015,0.15384615384615385,2014.3658536585365,0.0
